start_hour,user_type,ride_count
0,Customer,4591
0,Subscriber,2714
1,Customer,2903
1,Subscriber,1582
2,Customer,1954
2,Subscriber,947
3,Customer,1156
3,Subscriber,561
4,Customer,682
4,Subscriber,704
5,Customer,821
5,Subscriber,2593
6,Customer,1954
6,Subscriber,11393
7,Customer,4716
7,Subscriber,29807
8,Customer,8806
8,Subscriber,41430
9,Customer,11569
9,Subscriber,20403
10,Customer,17829
10,Subscriber,14196
11,Customer,24978
11,Subscriber,17700
12,Customer,28707
12,Subscriber,21463
13,Customer,30797
13,Subscriber,20198
14,Customer,32230
14,Subscriber,17969
15,Customer,32737
15,Subscriber,21529
16,Customer,32156
16,Subscriber,34639
17,Customer,31148
17,Subscriber,52551
18,Customer,25259
18,Subscriber,33709
19,Customer,19182
19,Subscriber,20942
20,Customer,13880
20,Subscriber,13933
21,Customer,11650
21,Subscriber,10192
22,Customer,10069
22,Subscriber,7435
23,Customer,6977
23,Subscriber,4446
